Job;Employer;Employer Rating;Location;Description 
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
Data Scientist;lafargeholcim;3.8;Settat;"Job Overview
We are searching for a Data Scientist to join our company on an immediate basis.
We are looking for an experienced Data Scientist who will support our products, sales, leadership and marketing terms with awareness gained from analyzing company’s data. You should be an expert at using large big data sets for products, undertake optimization and use models to test the effectiveness of different courses of action.
In this role, you should be highly logical with a strong capability for analysis, math and statistics. Analytical skills and problems solving are essential for interpreting data. Passion for research and machine learning will also be required in a candidate to be successful in this role. You will ultimately help our company analyze trends to make better decisions.
If you feel you are suitable for this role, send in your application to us. We shall be happy to meet you.
Responsibilities
Ally with engineering and product development teams.
Suggest solutions and strategies to business challenges.
Present information using data visualization techniques.
Produce predictive and machine learning rules Integrate models through ensemble modeling.
Manage the processing of structured and unstructured data.
Examine large amount of information to discover new patterns and trends.
Recognize valuable data sources and automate collection procedure.
Work closely with Data Engineer to analyze data to conduct statistical analysis.
Requirements
Bachelor’s or Master’s degree in Computer Science, Data Science, Engineering or any other quantitative field.
Proven 3 to 5 years work experience as a Data Scientist, Data Analyst or Software Engineer or a similar position.
Excellent knowledge of programming languages like R, and Python.
Excellent understanding of SQL and other databases.
Familiar with Java, Scala or C++.
Solid experience of using business intelligence tools such as Tableau, data frameworks example Hadoop.
Outstanding data analysis skills.
Exceptional data analytics knowledge.
Good understanding of data driven statistical models and predictive modeling.
Outstanding presentation skills.
Strong oral and written communication skills
Excellent math skills like algebra, statistics etc.
Great knowledge of machine learning and operations .
Investigative mind and business awareness.
Strong organizational skills."
